,checking,month,credit_history,purpose,credit_amount,savings,employment_length,installment_rate,sex_marital_status,debtors,resident_length,property,age,installment_plan,housing,num_of_credit,job,liables,telephone,foreign_worker,target
171,3,12,2,5,763,2,2,4,4,2,1,0,26,1,2,1,1,1,1,0,1
172,1,24,3,5,2064,2,4,3,4,2,2,1,34,1,2,1,0,1,1,0,2
173,1,8,2,6,1414,2,2,4,3,1,2,0,33,1,2,1,1,1,0,1,1
174,0,21,3,1,3414,2,3,2,3,2,1,1,26,1,2,2,1,1,0,0,2
175,3,30,1,8,7485,1,4,4,4,2,1,0,53,2,2,1,0,1,1,0,2
176,0,12,2,5,2577,2,2,2,2,2,1,2,42,1,2,1,1,1,0,0,1
177,0,6,4,6,338,4,0,4,3,2,4,2,52,1,2,2,1,1,0,0,1
178,3,12,2,6,1963,2,1,4,3,2,2,2,31,1,0,2,0,2,1,0,1
179,0,21,4,7,571,2,0,4,3,2,4,0,65,1,2,2,1,1,0,0,1
180,3,36,3,10,9572,2,3,1,2,2,1,2,28,1,2,2,1,1,0,0,2
181,1,36,3,10,4455,2,2,2,2,2,2,0,30,0,2,2,0,1,1,0,2
182,0,21,1,7,1647,1,2,4,3,2,2,1,40,1,2,2,2,2,0,0,2
183,3,24,4,5,3777,0,2,4,3,2,4,0,50,1,2,1,1,1,1,0,1
184,1,18,4,7,884,2,0,4,3,2,4,2,36,2,2,1,1,2,1,0,2
185,3,15,4,6,1360,2,2,4,3,2,2,1,31,1,2,2,1,1,0,0,1
186,1,9,1,8,5129,2,0,2,4,2,4,3,74,2,1,1,0,2,1,0,2
187,1,16,4,7,1175,2,4,2,3,2,3,2,68,1,1,3,3,1,1,0,1
188,0,12,2,6,674,3,1,4,1,2,1,1,20,1,2,1,1,1,0,0,2
189,1,18,0,5,3244,2,2,1,4,2,4,2,33,2,2,2,1,1,1,0,1
190,3,24,2,10,4591,0,2,2,3,2,3,1,54,1,2,3,0,1,1,0,2
191,1,48,0,10,3844,3,1,4,3,2,4,3,34,1,1,1,2,2,0,0,2
192,1,27,2,10,3915,2,2,4,3,2,2,2,36,1,2,1,1,2,1,0,2
193,3,6,2,6,2108,2,1,2,1,2,2,0,29,1,0,1,1,1,0,0,1
194,1,45,2,6,3031,3,2,4,3,1,4,1,21,1,0,1,1,1,0,0,2
195,1,9,4,1,1501,2,0,2,4,2,3,2,34,1,2,2,0,1,1,0,2
196,3,6,4,6,1382,2,2,1,4,2,1,2,28,1,2,2,1,1,1,0,1
197,1,12,2,5,951,3,3,4,4,2,4,2,27,2,0,4,1,1,0,0,2
198,1,24,2,8,2760,1,0,4,3,2,4,3,36,2,1,1,1,1,1,0,1
199,1,18,3,5,4297,2,0,4,2,2,3,3,40,1,2,1,0,1,1,0,2
200,3,9,4,1,936,4,0,4,3,2,2,2,52,1,2,2,1,1,1,0,1
201,0,12,2,7,1168,2,2,4,1,2,3,0,27,1,2,1,2,1,0,0,1
202,3,27,3,10,5117,2,1,3,3,2,4,2,26,1,2,2,1,1,0,0,1
203,0,12,2,9,902,2,1,4,1,2,4,1,21,1,0,1,1,1,0,0,2
204,3,12,4,7,1495,2,0,4,3,2,1,0,38,1,2,2,2,2,0,0,1
205,0,30,4,8,10623,2,0,3,3,2,4,3,38,1,1,3,0,2,1,0,1
206,3,12,4,5,1935,2,0,4,3,2,4,0,43,1,2,3,1,1,1,0,1
207,1,12,4,3,1424,2,1,4,3,2,3,1,26,1,2,1,1,1,0,0,1
208,0,24,2,10,6568,2,2,2,1,2,2,2,21,0,2,1,2,1,0,0,1
209,3,12,2,8,1413,0,1,3,3,2,2,1,55,1,2,1,1,1,0,1,1
210,3,9,4,6,3074,1,2,1,3,2,2,0,33,1,2,2,1,2,0,0,1
211,3,36,2,6,3835,1,0,2,4,2,4,0,45,1,2,1,2,1,1,0,1
212,0,27,0,10,5293,2,4,2,3,2,4,1,50,0,2,2,1,1,1,0,2
213,2,30,3,10,1908,2,0,4,3,2,4,0,66,1,2,1,0,1,1,0,2
214,3,36,4,6,3342,1,0,4,3,2,2,2,51,1,2,1,1,1,1,0,1
215,1,6,4,9,932,1,1,1,4,2,3,1,39,1,2,2,2,1,0,0,1
216,0,18,0,10,3104,2,1,3,3,2,1,1,31,2,2,1,1,1,1,0,1
217,2,36,2,6,3913,2,2,2,3,2,2,0,23,1,2,1,1,1,1,0,1
218,0,24,2,5,3021,2,2,2,2,2,2,0,24,1,0,1,2,1,0,0,1
219,3,10,2,7,1364,2,2,2,4,2,4,2,64,1,2,1,1,1,1,0,1
220,1,12,2,6,625,2,3,4,1,1,1,0,26,2,2,1,2,1,0,0,1
221,0,12,2,1,1200,1,2,4,4,2,4,1,23,2,0,1,1,1,1,0,1
222,3,12,2,6,707,2,2,4,3,2,2,0,30,2,2,2,1,1,0,0,1
223,3,24,3,10,2978,1,2,4,3,2,4,0,32,1,2,2,1,2,1,0,1
224,3,15,2,8,4657,2,2,3,3,2,2,2,30,1,2,1,1,1,1,0,1
225,3,36,0,4,2613,2,2,4,3,2,2,2,27,1,2,2,1,1,0,0,1
226,1,48,2,6,10961,0,1,1,3,0,2,3,27,2,2,2,1,1,1,0,2
227,0,12,2,5,7865,2,0,4,3,2,4,3,53,1,1,1,0,1,1,0,2
228,3,9,2,6,1478,2,1,4,3,2,2,2,22,1,2,1,1,1,0,0,2
229,0,24,2,5,3149,2,3,4,3,2,1,3,22,2,1,1,1,1,0,0,1
230,2,36,2,6,4210,2,2,4,3,2,2,2,26,1,2,1,1,1,0,0,2
231,3,9,2,7,2507,4,0,2,3,2,4,3,51,1,1,1,2,1,0,0,1
232,3,12,2,6,2141,3,1,3,3,2,1,3,35,1,2,1,1,1,0,0,1
233,1,18,2,6,866,2,2,4,1,1,2,0,25,1,2,1,2,1,0,0,1
234,3,4,4,6,1544,2,1,2,3,2,1,0,42,1,2,3,2,2,0,0,1
235,0,24,2,6,1823,2,4,4,3,2,2,2,30,0,2,1,0,2,0,0,2
236,1,6,2,7,14555,1,4,1,3,2,2,1,23,1,2,1,3,1,1,0,2
237,1,21,2,10,2767,3,0,4,2,2,2,2,61,2,0,2,2,1,0,0,2
238,3,12,4,6,1291,2,2,4,4,2,2,1,35,1,2,2,1,1,0,0,1
239,0,30,2,6,2522,2,0,1,3,1,3,1,39,1,2,1,1,2,0,0,1
240,0,24,2,7,915,1,0,4,4,2,2,2,29,2,2,1,1,1,0,0,2
241,3,6,2,6,1595,2,1,3,3,2,2,1,51,1,2,1,1,2,0,0,1
242,0,48,0,8,4605,2,0,3,3,2,4,3,24,1,1,2,1,2,0,0,2
243,3,12,4,10,1185,2,2,3,4,2,2,0,27,1,2,2,1,1,0,0,1
244,3,12,1,9,3447,4,2,4,4,2,3,0,35,1,2,1,2,2,0,0,1
245,3,24,2,10,1258,2,1,4,3,2,1,0,25,1,2,1,1,1,1,0,1
246,3,12,4,6,717,2,0,4,3,2,4,0,52,1,2,3,1,1,0,0,1
247,3,6,0,7,1204,3,2,4,3,2,1,3,35,2,0,1,1,1,0,1,1
248,2,24,2,5,1925,2,2,2,3,2,2,0,26,1,2,1,1,1,0,0,1
249,3,18,2,6,433,2,4,3,4,0,4,0,22,1,0,1,1,1,0,0,2
250,0,6,4,7,666,0,1,3,4,2,4,0,39,1,2,2,2,1,1,0,1
251,2,12,2,5,2251,2,2,1,4,2,2,2,46,1,2,1,2,1,0,0,1
252,1,30,2,7,2150,2,2,4,4,1,2,3,24,2,2,1,1,1,0,0,2
253,3,24,3,5,4151,3,2,2,3,2,3,1,35,1,2,2,1,1,0,0,1
254,1,9,2,5,2030,1,1,2,3,2,1,2,24,1,2,1,1,1,1,0,1
255,1,60,3,6,7418,1,2,1,3,2,1,0,27,1,2,1,2,1,0,0,1
256,3,24,4,6,2684,2,2,4,3,2,2,0,35,1,2,2,2,1,0,0,1
257,0,12,1,6,2149,2,2,4,2,2,1,3,29,1,1,1,1,1,0,0,2
258,3,15,2,8,3812,3,3,1,4,2,4,2,23,1,2,1,1,1,1,0,1
259,3,11,4,6,1154,3,4,4,4,2,4,0,57,1,2,3,2,1,0,0,1
260,0,12,2,5,1657,2,2,2,3,2,2,0,27,1,2,1,1,1,0,0,1
261,0,24,2,6,1603,2,0,4,4,2,4,2,55,1,2,1,1,1,0,0,1
262,0,18,4,7,5302,2,0,2,3,2,4,3,36,1,1,3,0,1,1,0,1
263,3,12,4,1,2748,2,0,2,4,2,4,3,57,2,1,3,2,1,0,0,1
264,3,10,4,7,1231,2,0,3,3,2,4,0,32,1,2,2,2,2,0,1,1
265,1,15,2,6,802,2,0,4,3,2,3,2,37,1,2,1,1,2,0,0,2
266,3,36,4,10,6304,1,0,4,3,2,4,0,36,1,2,2,1,1,0,0,1
267,3,24,2,6,1533,2,3,4,4,2,3,2,38,0,2,1,1,1,1,0,1
268,0,14,2,7,8978,2,0,1,2,2,4,1,45,1,2,1,0,1,1,1,2
269,3,24,2,6,999,1,0,4,3,2,2,2,25,1,2,2,1,1,0,0,1
270,3,18,2,7,2662,1,1,4,3,2,3,1,32,1,2,1,1,1,0,1,1
271,3,12,4,5,1402,4,1,3,4,2,4,2,37,1,0,1,1,1,1,0,1
272,1,48,1,7,12169,1,4,4,3,0,4,3,36,1,1,1,0,1,1,0,1
273,1,48,2,6,3060,2,1,4,3,2,4,0,28,1,2,2,1,1,0,0,2
274,0,30,2,4,11998,2,3,1,2,2,1,3,34,1,2,1,2,1,1,0,2
275,3,9,2,6,2697,2,2,1,3,2,2,0,32,1,2,1,1,2,0,0,1
276,3,18,4,6,2404,2,2,2,4,2,2,2,26,1,2,2,1,1,0,0,1
277,0,12,2,5,1262,1,0,2,2,2,4,1,49,1,2,1,2,1,1,0,1
278,3,6,2,5,4611,2,3,1,4,2,4,1,32,1,2,1,1,1,0,0,2
279,3,24,2,6,1901,3,2,4,3,2,4,2,29,1,0,1,0,1,1,0,1
280,3,15,4,8,3368,0,0,3,3,2,4,3,23,1,0,2,1,1,1,0,1
281,3,12,2,5,1574,2,2,4,3,2,2,0,50,1,2,1,1,1,0,0,1
282,2,18,1,6,1445,1,1,4,3,2,4,2,49,2,2,1,2,1,0,0,1
283,3,15,4,5,1520,1,0,4,3,2,4,1,63,1,2,1,1,1,0,0,1
284,1,24,4,7,3878,3,3,4,2,2,2,2,37,1,2,1,1,1,1,0,1
285,0,47,2,7,10722,2,3,1,4,2,1,0,35,1,2,1,2,1,1,0,1
286,0,48,2,8,4788,2,1,4,3,2,3,1,26,1,2,1,1,2,0,0,1
287,1,48,3,0,7582,3,4,2,3,2,4,3,31,1,1,1,0,1,1,0,1
288,1,12,2,6,1092,2,2,4,4,1,4,0,49,1,2,2,1,1,1,0,1
289,0,24,3,6,1024,2,3,4,1,2,4,0,48,0,2,1,1,1,0,0,2
290,3,12,2,10,1076,2,2,2,1,2,2,0,26,1,2,1,1,1,1,1,1
291,1,36,2,8,9398,2,3,1,1,2,4,2,28,1,0,1,0,1,1,0,2
292,0,24,4,8,6419,2,0,2,4,2,4,3,44,1,1,2,0,2,1,0,1
293,2,42,4,8,4796,2,0,4,3,2,4,3,56,1,1,1,1,1,0,0,1
294,3,48,4,10,7629,1,0,4,2,2,2,2,46,2,2,2,0,2,0,0,1
295,1,48,2,5,9960,2,3,1,4,2,2,2,26,1,2,1,1,1,1,0,2
296,3,12,2,8,4675,1,3,1,4,2,4,2,20,1,0,1,1,1,0,0,1
297,3,10,2,7,1287,1,0,4,3,0,2,1,45,1,2,1,2,1,0,1,1
298,3,18,2,5,2515,2,2,3,3,2,4,0,43,1,2,1,1,1,1,0,1
299,1,21,4,5,2745,0,1,3,3,2,2,2,32,1,2,2,1,1,1,0,1
300,3,6,2,7,672,2,4,1,4,2,4,0,54,1,2,1,3,1,1,0,1
301,1,36,0,6,3804,2,2,4,4,2,1,2,42,1,2,1,1,1,1,0,2
302,2,24,4,7,1344,1,1,4,3,2,2,0,37,2,2,2,2,2,0,0,2
303,0,10,4,7,1038,2,1,4,3,0,3,1,49,1,2,2,1,1,1,0,1
304,3,48,4,7,10127,4,2,2,3,2,2,3,44,2,1,1,1,1,0,0,2
305,3,6,2,5,1543,0,2,4,2,2,2,0,33,1,2,1,1,1,0,0,1
306,3,30,2,8,4811,1,1,2,4,2,4,1,24,0,0,1,2,1,0,0,1
